"id" "treatment"
"981" 2018 "Akt knockout"
"982" 2018 "Both"
"983" 2019 "E2"
"984" 2019 "Both"
"985" 2020 "E2"
"986" 2020 "Akt knockout"
"987" 2020 "Both"
"988" 2028 "E2"
"989" 2028 "Both"
"990" 2029 "E2"
"991" 2029 "Akt knockout"
"992" 2032 "E2"
"993" 2043 "E2"
"994" 2043 "Akt knockout"
"995" 2043 "Both"
"996" 2045 "Akt knockout"
"997" 2045 "Both"
"998" 2050 "E2"
"999" 2050 "Akt knockout"
"1000" 2050 "Both"
"1001" 2051 "E2"
"1002" 2051 "Both"
"1003" 2053 "E2"
"1004" 2053 "Akt knockout"
"1005" 2053 "Both"
"1006" 2055 "Both"
"1007" 2058 "Both"
"1008" 2063 "E2"
"1009" 2063 "Akt knockout"
"1010" 2064 "Akt knockout"
"1011" 2065 "E2"
"1012" 2066 "Both"
"1013" 2074 "Akt knockout"
"1014" 2075 "E2"
"1015" 2075 "Akt knockout"
"1016" 2075 "Both"
"1017" 2076 "E2"
"1018" 2076 "Both"
"1019" 2086 "Both"
"1020" 2090 "E2"
"1021" 2090 "Both"
"1022" 2091 "E2"
"1023" 2091 "Akt knockout"
"1024" 2091 "Both"
"1025" 2092 "Akt knockout"
"1026" 2093 "Akt knockout"
"1027" 2096 "E2"
"1028" 2100 "Akt knockout"
"1029" 2107 "E2"
"1030" 2107 "Both"
"1031" 2116 "Akt knockout"
"1032" 2118 "Akt knockout"
"1033" 2119 "Akt knockout"
"1034" 2130 "E2"
"1035" 2136 "Both"
"1036" 2142 "E2"
"1037" 2142 "Akt knockout"
"1038" 2144 "Both"
"1039" 2146 "E2"
"1040" 2149 "Akt knockout"
"1041" 2162 "E2"
"1042" 2165 "Akt knockout"
"1043" 2170 "Akt knockout"
"1044" 2171 "E2"
"1045" 2171 "Both"
"1046" 2174 "Akt knockout"
"1047" 2180 "E2"
"1048" 2192 "Both"
"1049" 2193 "Both"
"1050" 2194 "E2"
"1051" 2194 "Both"
"1052" 2198 "Akt knockout"
"1053" 2202 "E2"
"1054" 2203 "E2"
"1055" 2203 "Akt knockout"
"1056" 2203 "Both"
"1057" 2204 "Both"
"1058" 2205 "E2"
"1059" 2205 "Both"
"1060" 2207 "E2"
"1061" 2207 "Both"
"1062" 2208 "E2"
"1063" 2208 "Both"
"1064" 2209 "E2"
"1065" 2209 "Both"
"1066" 2211 "E2"
"1067" 2211 "Both"
"1068" 2214 "Akt knockout"
"1069" 2214 "Both"
"1070" 2222 "E2"
"1071" 2222 "Both"
"1072" 2223 "E2"
"1073" 2223 "Akt knockout"
"1074" 2223 "Both"
"1075" 2224 "E2"
"1076" 2224 "Both"
"1077" 2225 "E2"
"1078" 2225 "Both"
"1079" 2232 "E2"
"1080" 2232 "Both"
"1081" 2234 "Both"
"1082" 2235 "E2"
"1083" 2248 "E2"
"1084" 2249 "E2"
"1085" 2249 "Akt knockout"
"1086" 2250 "Akt knockout"
"1087" 2250 "Both"
"1088" 2255 "Akt knockout"
"1089" 2257 "E2"
"1090" 2258 "E2"
"1091" 2258 "Both"
"1092" 2262 "Akt knockout"
"1093" 2263 "E2"
"1094" 2263 "Both"
"1095" 2269 "Both"
"1096" 2273 "Both"
"1097" 2281 "Both"
"1098" 2282 "Akt knockout"
"1099" 2282 "Both"
"1100" 2286 "E2"
